Short title (no more than 55 characters inc. spaces),Legal Development,Suggested action for clients to take,Quadrant,"Ring (Plan, Prepare, Monitor or Action) "
Corporate Sustainability Reporting Directive,"The Corporate Sustainability Reporting Directive (""CSRD"") has been in force since 5 January 2023. 

The CSRD seeks to make businesses more publicly accountable by creating new rules requiring them to regularly disclose information on their societal and environmental impact. This is an attempt to address 'greenwashing' concerns and address shortcomings within existing legislation on the disclosure of non-financial information.

The CSRD requires in-scope companies to report on sustainability-related issues in line with the detailed set of disclosure standards developed by the European Financial Reporting Advisory Group (""EFRAG""). 

The CSRD extends to large and listed EU companies, as well as to large third country companies which do substantial business in the EU or have securities listed on EU regulated markets.","The CSRD will apply for large public-interest companies (PIEs) (with over 500 employees) that are already subject to Directive 2014/95/EU (the Non-Financial Reporting Directive). In practice, this will capture all listed companies plus large companies that exceed 2 of the 3 of the following:
• Balance sheet total: > EUR 20M
• Net revenue: > EUR 40M
• > 250 average number of employees during the FY

It will also apply to non-EU companies (i.e. large UK corporate) with substantial activity in the EU will be in-scope for CSRD reporting. 

A third-party country legal entity will be in-scope if it meets the following criteria:

1. Net turnover of EUR 150 million in the EU for each of the last two consecutive financial years; and
2. At least one subsidiary or branch in the EU which:
3. For a subsidiary: meets the criteria for categories (2) or (3) above; and
4. For a branch: has a turnover of more than EUR 40 million

The CSRD will require in-scope companies to disclose information on 'sustainability matters' that affect it (and its group), as well as the impacts on sustainability matters (the so-called 'double materiality' principle).  In particular, the CSRD will require management reports to include information on:

• the resilience of the company's business model and strategy to sustainability risks;
• plans ensuring compatibility with the 1.5°C global warming target under the Paris Agreement regarding climate neutrality by 2050 and exposure to coal, oil and gas related activities.",Corporate Governance,Prepare
,,,,
Capacity Market reform,"There was a consultation in January 2023 on a range of proposals to reform the Capacity Market. These are being taken forward in 2 phases. The Phase 1 proposals should be in place by the 2024 auctions and the Phase 2 proposals are subject to a further consultation, which opened on 16 October 2023 and closed on 8 December 2023.","Clients should ensure they are familiar with the proposals. Phase 1 proposals include:
An extension to the temporary arrangements removing barriers to mothballed plant entering the Capacity Market (with a more enduring solution falling into phase 2).
A temporary delay to the requirement for fossil fuel emissions declaration verification from prequalification 2023 to 2024 with any verification carried out in 2023 also being valid in 2024. This is to mitigate the risks of low numbers of accredited Independent Emissions Verifiers available for the 2023 prequalification window.

The Phase 2 proposals are designed to improve security of supply and accelerate investment in low carbon technologies, including battery storage and demand side response. They include:
Clarifying that a site cannot prequalify for the CM auction if they hold a CfD for a future delivery year
Clarifying that battery augmentation is permitted so that storage CMUs can manage the
natural decline in capacity due to degradation
Setting out our plans to implement 9-year agreements and Capex thresholds for low carbon, new build and refurbishing capacity
Building on the January 2023 consultation which asked for feedback on challenges faced by projects with long build times and potential supportive measures by proposing to offer a 24 month declared long stop date, in addition to the existing 12 month long
stop date, for new build and refurbishing low carbon projects meeting the Capex thresholds of 15 and proposed 9-year agreements participating in T-4 auction
Seeking evidence and views on creating new Generating Technology Classes to cover DSR
Proposing that CM emissions are published on the CM register",IPE,Action
Green Deal industrial plan,"In February 2023, the European Commission published a Communication entitled ""A Green Deal Industrial Plan for the Net-Zero Age"".

The plan enhances the competitiveness of Europe's net-zero industry and is accelerating the transition to climate neutrality. It does so by creating a more supportive environment for scaling up the EU's manufacturing capacity for the net-zero technologies and products required to meet Europe's ambitious climate targets.

It covers four key pillars
●	Predictable and simplified regulatory environment
●	Faster access to funding
●	Enhancing skills
●	Open trade for resilient supply chains

Initiatives of the plan include:

The Net-Zero Industry Act which identifies goals for net-zero industrial capacity and provides a regulatory framework suited for its quick deployment.

The Critical Raw Materials Act – ensuring sufficient access to materials.

The reform of electricity market design – helping consumer benefit from the lower cost of renewables.

The use of harmonised sustainability and circularity requirements in public procurement can help create a more predictable demand for net-zero products and solutions.

The Commission will also facilitate the use of existing EU funds for financing clean tech innovation, manufacturing and deployment, with a focus on REPowerEU, InvestEU and the Innovation Fund. The Commission will also look to set up the European Sovereignty Fund.","To achieve these objectives, the availability of green technologies and products, such as photovoltaic cells, wind turbines, heat pumps, hydrogen electrolysers, batteries and carbon capture and storage equipment will need to be secured.

The Green Deal Industrial Plan will create an attractive environment for net-zero investments, so that the EU manufacturing capacity for these products is strengthened and demand satisfied.",IPE,Plan
2040 zero emissions airport target,The Department for Transport has launched a consultation to help design a policy to enable the transition of airport operations in England to zero emission by 2040.,"The consultation forms the initial stages of the airport operations decarbonisation plans, seeking to formalise a definition of airport operations as well as to further understand the emissions sources that should be included within the target.

In particular, the consultation seeks to understand:
o	to which entities the target should apply;
o	the type and size of airport the target should be applied to;
o	potential regulatory or voluntary approaches that could be used to implement the target;
o	how the proposed target could be aligned with current schemes, such as the Airports Council International Airport Carbon Accreditation scheme;
o	the barriers and opportunities which may exist in implementing the target, including commercial feasibility; and
o	what the appropriate measuring and reporting processes should be

The plan to ensure airport operations in England are operating at net zero by 2040 is part of the wider plan to ensure the aviation industry is operating at net zero by 2050.",IPE,Prepare
The Climate Change Act 2008 (2050 Target Amendment) ,"This Order amends the target in the Climate Change Act 2008 from an 80% reduction in carbon emissions from 1990 levels, to a 100% reduction, by 2050, i.e. implementing the Committee on Climate Change's 'Net Zero' recommendation.","Any client that emits large amounts of carbon dioxide will be particularly affected, but all clients will have to seek to reduce their emissions if the UK is to hit this target. The impact is still being worked out.",IPE,Plan
REPowerEU,"In response to disruption caused by Russia's invasion of Ukraine, the European Commission is implementing its REPowerEU Plan. It is hoped REPowerEU will help the EU save energy, produce clean energy and diversify its energy supplies.","There are now various initiatives to deliver the plan including:
●	New national REPowerEU chapters under the updated Recovery and Resilience Facility
●	Boosting industrial decarbonisation
●	Sign-off and implementation of new legislation for faster renewables roll-out
●	Investments in energy infrastructure and interconnections
●	Regulatory measures to increase energy efficiency
●	A modern regulatory framework for hydrogen, and a hydrogen accelerator",IPE,Prepare
Civil nuclear: roadmap to 2050,"The civil nuclear roadmap provides a pathway for the different nuclear technologies and sets out how the government expect UK nuclear deployment to happen, a timeline for the key decisions and actions, and clarity over the role government and industry should play in supporting and enabling this delivery","Over the next 12 months, the Government commits to: consulting on Alternative Routes to Market for New Nuclear Projects and a new approach to siting nuclear within the National Policy Statement (NPS) (with a consultation on the draft NPS to follow), that will further inform civil nuclear policy; publishing a Nuclear Skills Taskforce report alongside a Defence Nuclear Enterprise Command Paper; and publishing a response to the consultation on nuclear decommissioning and managing radioactive substances, including radioactive waste.",IPE,Plan
Decarbonising GB electricity network by 2035,The government has announced plans for GB to decarbonise the electricity network by 2035. The government said that its plans will reduce the UK's reliance on fossil fuels and exposure to volatile global wholesale energy prices and goes beyond what was committed in the December 2020 Energy White Paper.,"Delivering this will require the deployment of a range of technologies, including onshore and offshore wind, hydrogen, solar PV, nuclear, and Carbon Capture and Storage (CCS). 

A net zero strategy was published on 19 October 2021, ahead of COP26.",IPE,Monitor
Infrastructure (Wales) Bill,"The Infrastructure (Wales) Bill establishes a new process, known as an ‘Infrastructure Consent’, for specific types of major infrastructure called ‘Significant Infrastructure Projects’ (SIPs).  

The new Infrastructure (Wales) Bill, which was introduced to the Senedd in June 2023, will bring forth major changes to the legislative framework and will speed up the consenting process on both land and in the territorial sea. The new form of consent will be known as ‘Infrastructure Consent’ and will be issued in relation to Significant Infrastructure Projects, including energy, transport, waste and water, among other infrastructure types.","Two further consultations are expected in the Spring. The first consultation paper will focus on the pre-application consultation procedure and will be a call for evidence to stakeholders, local communities and other interested parties to seek ideas and suggestions for how pre-application consultation should be conducted. The second consultation paper will focus on fees for the consenting process.",IPE,Monitor
Connections reform proposals,"National Grid ESO has published initial proposals to further develop their long-term connections reforms which were originally announced in December 2023 to help speed up those in the queue for transmission connections. Under the reformed 'First Ready, First Connected approach' (otherwise known as 'TM04') projects will enter the connections process at ‘Gate 1’ but will need to reach certain criteria to arrive at ‘Gate 2’ at which point projects can obtain a queue position and a connection date. Prior to reaching Gate 2, projects would only receive an indicative connection date and connection point. 

ESO will seek to apply this First Ready, First Connected model retrospectively, across all projects in the connections queue. Projects in the existing queue will be given a period of time, prior to the implementation of these reforms, to demonstrate whether they have met Gate 2. Where projects meet the criteria, they will have the option to retain their existing connection date, or may request an accelerated connection date based on the reformed queue. ","Monitor these developments as the reformed process could be in place by January 2025, subject to timelines for industry consultation and regulatory processes.",IPE,Prepare
Hydrogen blending into GB gas distribution networks,"Following a consultation,  the Department for Energy Security and Net Zero has made a strategic policy decision to support blending of up to 20% hydrogen by volume into Great Britain’s gas distribution networks.","The decision is subject to a satisfactory safety case for blending, so blending will not take place in the near future. When it does, its role will be as ""offtaker of last resort"" for hydrogen projects that would otherwise have no demand; and also as strategic enabler for electrolytic hydrogen projects in areas of surplus renewable electricity.",IPE,Plan
,,,,
Heat and Buildings Strategy,"The Heat and Buildings Strategy was published on 19 October 2021.

Scotland has also published its vision for the future of heat in buildings, and the actions they are taking in the buildings sector to deliver climate change commitments.",The Strategy sets out current and planned activities for the 2020s including aiming to phase out the installation of natural gas boilers from 2035 and whether to end gas connections to new homes built from 2025. This will lead to more electric heat pumps being installed.,Environment and Sustainability ,Prepare
Plan to reduce water pollution,"Government plans announced will see:

A new legal duty on water companies in England to upgrade wastewater treatment works by 2030 in ‘nutrient neutrality’ areas to the highest achievable technological levels.

A new Nutrient Mitigation Scheme established by Natural England, helping wildlife and boosting access to nature by investing in projects like new and expanded wetlands and woodlands. This will allow local planning authorities to grant planning permission for new developments in areas with nutrient pollution issues, providing for the development of sustainable new homes and ensuring building can go ahead. Defra and DLUHC will provide funding to pump prime the scheme.",Clients should monitor these plans.,Environment and Sustainability ,Plan
Offshore Transmission Network Review,This consultation sought views on a new enduring regime for windfarm development and offshore transmission.,It will affect wind farms that are planned in the future (after 2030). There may be a strategic plan that sets out where they can be sited; and different delivery models. There is also information about multi purpose interconnectors (that connect wind farms to each other and to different markets).,Environment and Sustainability ,Prepare
Electricity Generator Levy,"The Government announced an Electricity Generator Levy in the November 2022 Autumn Statement. The levy applies from 1 January 2023 until 31 March 2028 on ""extraordinary returns"" from selling electricity above £75/MW. For more detail see our Insight Electricity Generator Levy on Low Carbon Generators.","The levy is a 45% tax on revenues from the sale of electricity at a price above £75/MW. It applies to companies or groups with a generation output of 50GWh per year or more. Legislation to bring it into effect will be part of the Finance Act this spring, but will be backdated to 1 January 2023. Siemens may well be affected and should be accounting for this. Note that it does not apply to projects that are paid under a Contract for Difference.",Environment and Sustainability ,Monitor
Smart meter rollout,From January 2022 all gas and electricity suppliers will have binding annual installation targets to roll out smart and advanced meters to their remaining non-smart customers by the end of 2025.,"This will involve an estimated 53 million devices being installed in 30 million homes and small business, by GB energy suppliers.",Environment and Sustainability ,Action
Clean Heat Market Mechanism consultation,"BEIS sought views in 2020 on options for the future support for low carbon heat, beyond the Renewable Heat Incentive (RHI).
The consultation set out proposals for:
- a Green Gas Support Scheme (GGSS): increasing the proportion of green gas in the grid through support for biomethane injection
- a Clean Heat Grant: support for heat pumps and in certain circumstances biomass, through an upfront capital grant to help address the barrier of upfront cost
- budget control and financial management of the spending proposals for green gas and buildings technologies 
- participant compliance

A response to the Future Support for Low Carbon Heat & The Green Gas Levy consultation was published in March 2021.
A response to the Clean Heat Grant proposals (now known as the Boiler Upgrade Scheme) was published on 19 October 2021.

On 19 October 2021, BEIS published a further consultation: A market-based mechanism for low-carbon heat. This sought views on the introduction of a market-based mechanism to support investment and innovation in transforming the consumer proposition for heat pumps. The Energy Act 2023 contains provisions to implement a market-based mechanism for low-carbon heat (the Clean Heat Market Mechanism).

As of March 2024, DESNZ is now inviting views on plans to adjust the date of introduction of the Clean Heat Market Mechanism scheme to 1 April 2025.","This scheme will impact gas boiler manufacturers, who will have to match a certain percentage (increasing each year) of boiler sales with sales of heat pumps.",Environment and Sustainability ,Prepare
UK publishes transport adaptation strategy,"The Department for Transport has launched the transport adaptation strategy, which includes actions and policies designed to improve the UK transport system into one that is flexible, reliable, operates safely and is responsive to a changing climate. The first stage of the strategy is a consultation on the proposals, launched in April 2024.","The transport adaptation strategy has three overarching objectives:
o	helping the transport sector understand the need to adapt business and operations to the changing climate, building their response into ‘business as usual’;
o	encouraging the transport sector to utilise available guidance and tools to support them in prioritising investments on adaptation and sharing information to galvanise adaptation action; and
o	ensuring the Department for Transport (DfT) sets the strategic direction for the transport sector, enhancing adaptation action and fostering cross-sector collaboration.",Environment and Sustainability ,Prepare
RAAC,"Reinforced Autoclaved Aerated Concrete (RAAC) is present in many buildings constructed between the 1950s and mid-1990s (approximately) and has made headline news recently.
Due to its construction, RAAC tends to be much weaker and more susceptible to degradation than traditional concrete, resulting in failure. The aerated structure means that moisture can easily penetrate and cause weakness, also causing steel reinforcements to rust and weaken. With an estimated life span of 30 years the last known RAAC produced in the UK is now beyond its design life expectancy, raising a number of health and safety concerns for buildings which contain it – most importantly, those buildings could be at risk of collapse with little or no notice.","Whilst the headlines relating to RAAC have largely focussed on public sector buildings, RAAC could be (and has been found to be) present in other types of buildings as well.
The Health and Safety Executive (HSE) has advised owners or managers of estates to identify RAAC in their buildings and seek specialist advice to assess and manage such risks from its use.  
Retail occupiers of affected premises need to be aware of the extent of their obligations under repair and service charge under their leases and to also consider the terms of their property and business interruption insurance.",Environment and Sustainability ,Plan
Biodiversity Net Gain,"From 12 February 2024, all planning permissions (subject to exceptions) granted in England pursuant to planning applications submitted under the Town and Country Planning Act 1990 on or after this date are subject to a condition requiring that the biodiversity value attributable to the development exceeds the pre-development value of the onsite habitat by at least 10%.","BNG is an approach to development that leaves the biodiversity of a site in a better state than before. While BNG is already a planning consideration, the new rules will mandate requirements to satisfy BNG as a planning condition. 
BNG requires all future development projects in England (subject to some exceptions) to deliver a minimum 10% BNG, to be maintained for a period of at least 30 years. BNG for small sites remains targeted to commence, from 2 April 2024, and implementation for Nationally Significant Infrastructure Projects remains targeted for 2025.",Environment and Sustainability ,Plan
Guidance on calculating nutrient neutrality,"Natural England and the Department for Environment, Food & Rural Affairs have released a collection of tools and resources for calculating nutrient neutrality.",Nutrient neutrality means that a new residential development will not cause increased nutrient pollution to specific habitat sites. Developers must use nutrient budget calculations to show that their proposals will not result in a net increase in nutrient pollution to 27 specific habitat sites. Developers can use the nutrient neutrality calculators to complete a nutrient budget to support a planning application and local planning authorities can use them to understand the mitigation requirements for future.,Environment and Sustainability ,Plan
