name,ring,quadrant,isNew,description,,
"Contractual controls on land: consultation
",Plan,Real Estate,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>
The Government published a Contractual controls on land consultation,(which applies to England and Wales) seeking views on its plans, through Part 11 of the Levelling Up and Regeneration Act 2023 (LURA 2003), to provide greater transparency on ‘contractual control agreements’ in England and Wales.<br><br>
The aim is to increase transparency around ""contractual arrangements used to exercise control over the buying and selling of land "" by creating a public register of interests such as options, rights of pre-emption and estate contracts. The proposed public (and free) data set will comprise the ""what"", ""where"", ""who"" and ""when"" of contractual land agreements with some exemptions (such as overage and clawback agreements, agreements made for the purposes of national security or defence and finance agreements)
<br>
<b>WHAT SHOULD I DO?</b><br>
This is simply a ""watch this space"" for the moment. Whether there is sufficient public interest at present to justify collating and publishing the data is questionable. In addition, the Government proposes to not only collect data on existing agreements entered into from 6 April 2021, but also to collect data on extant agreements entered into at any time, if they are varied in such a way that alters any of the required information or are assigned from the commencement date of the regulations (expected 6 April 2026). <br><br>
There will be criminal penalties for non -compliance (including unlimited fines and up to two years imprisonment) and HMLR will refuse to register a notice or restriction to protect an agreement unless information regarding control agreements is provided. The BPF will submit a response.
</p>",,
Empty Rates Relief,Plan,Real Estate,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>
The Non-Domestic Rating (Unoccupied Property) (England) (Amendment) Regulations 2024, amend the Non-Domestic Rating (Unoccupied Property) (England) Regulations 2008, to extend the period during which a property can be occupied, but still be considered to be unoccupied for the purposes of empty rates relief, from six to thirteen weeks. The regulations come into force on 1 April 2024.
<br>
<b>WHAT SHOULD I DO?</b><br>
The Government has also published its response to the business rates  consultation. The response suggests the Government is to consult on extending the General Anti-Avoidance Rule to business rates in England. This contains a major change to short term occupation mitigation schemes which could impact clients. 
</p>",,
Overseas enforcement of judgments: UK signs the Hague Convention 2019,Plan,Disputes,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>
The UK has signed the Hague Convention on the Recognition and Enforcement of Foreign Judgments in Civil or Commercial Matters 2019 (Hague Convention 2019), to facilitate better international recognition and enforcement of civil and commercial English judgments. <br><br>
Enforcement of a relevant judgment given in the courts of one contracting state can only be refused by the courts of another contracting state on limited grounds, such as fraud or public policy. <br><br>
The Convention deals with the recognition and enforcement of judgments, not the allocation of jurisdiction between contracting states' courts.<br><br> 
The Convention applies to judgments given pursuant to non-exclusive and asymmetric jurisdiction clauses.  It does not apply to judgments given pursuant to exclusive jurisdiction clauses, which will continue to be covered by the Hague Convention on Choice of Court Agreements 2005. The Hague Convention 2019 will come into force for the UK 12 months after ratification and will apply to judgments in proceedings started after that date.  <br><br>
The UK government expects ratification to take place during 2024.
<br>
<b>WHAT SHOULD I DO?</b><br>
Parties to contracts will feel more comfortable including a non-exclusive or asymmetric jurisdiction clause in their agreements, knowing that a judgment of the English court given pursuant to such a clause should be recognised and enforced in the courts of signatories to the Hague Convention 2019.<br><br>
Signatories include EU member states other than Denmark.
</p>",,
Litigation funding: – legislation tabled to reverse PACCAR,Plan,Disputes,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>
The effect of the Supreme Court's decision in R (on the application of PACCAR Inc and others) v Competition Appeal Tribunal and others [2023] UKSC 28 was that litigation funding agreements under which the funder stood to receive a percentage of the damages recovered were not enforceable unless they complied with legislation regulating damages-based agreements (which most do not).<br><br>
The UK government has tabled legislation to reverse that effect. The Litigation Funding Agreements (Enforceability) Bill is intended to reverse PACCAR so that litigation funding agreements within the definition introduced by the Bill are excluded from the definition of damages-based agreements.  It will have retrospective effect. The Bill had its second reading in the House of Lords on 15 April 2024, and the committee stage is expected to start on 29 April 2024.
<br>
<b>WHAT SHOULD I DO?</b><br>
Litigation funding agreements which provided for some remuneration to the funders by reference to the amount of damages recovered needed, in some cases, to be renegotiated to remain enforceable as the parties intended post-PACCAR.
The new legislation would have the effect of reinstating the status quo.
</p>",,
Compulsory mediation,Prepare,Disputes,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>
There are two recent developments.<br>
•	Mediation will soon be compulsory for most claims under £10,000.
•	A consultation has been opened by the Civil Procedure Rules Committee to look at what rule changes should flow from the Court of Appeal's decision in James Churchill -v- Merthyr Tydfil County Borough Council [2023] EWCA Civ 1416.  (In that case the Court of Appeal found the court could stay proceedings for, or order parties to engage in, non-court-based dispute resolution process such as mediation.)                                                                                                                                                                                                                                                                 Compulsory mediation in low value claims: from 22 May 2024.
<br>
<b>WHAT SHOULD I DO?</b><br>
Federated Hermes should remain alive to the risk of not considering or refusing an offer to engage in a form of alternative dispute resolution, whatever the claim value.  The English courts are eager to ensure parties explore settlement options to settle or reduce the scope of disputes and will penalise any unreasonable failure to do so in costs.
</p>",,
Digitisation of Civil Procedure ,Action,Disputes,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>
There are currently two online portal pilot schemes running to October 2024:<br><br>
- Damages Claims: covers County Court claims for damages only, where the parties are represented by a legal representative registered with the portal service; and<br>
- Online Civil Money Claims: covers County Court claims for a specified amount of money:<br>
• up to £10,000 where both parties are unrepresented; and <br>
• £25,000 where both parties are represented by legal representatives registered to use the portal service.  
<br>
<b>WHAT SHOULD I DO?</b><br>
Federated Hermes will be alert to further developments, particularly in relation to lower value claims. <br><br>
Changes are expected to be incremental for existing pilots, along with, possibly, new pilots for other types of claims.
</p>",,
Non-party access to court documents: possible changes,Monitor,Disputes,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>
A consultation about proposed changes to the court rules on how and when non-parties can access court documents closed in April 2024.  
<br><br>
The proposed changes could mean that non-parties would be able to access witness statements, expert reports and skeleton arguments much earlier than is currently the case.
<br><br>
A number of lawyers and other professional bodies have expressed concern about the extent of the changes, and it is hoped the Civil Procedure Rules Committee will reconsider the changes required to give effect to a Supreme Court decision, Cape Intermediate Holdings Ltd v Dring (for and on behalf of Asbestos Victims Support Groups Forum UK) [2019] UKSC 38, which was the starting point for these changes. Any changes are likely to come into force in October 2024.
<br>
<b>WHAT SHOULD I DO?</b><br>
The proposed changes which were the subject of the consultation contained no grandfathering provisions, with the consequence that – to the extent they remain on the court file – witness statements and expert reports filed prior to the introduction of the new rules could become available to non-parties.
<br><br>
Subject to the final form of the new rules, Federated Hermes should therefore consider whether there are any cases for which it should ask the court to restrict the court file.
</p>",,
Arbitration Act changes – New Arbitration Bill,Plan,Disputes,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>
On 22 November 2023, the UK Government introduced the new Arbitration Bill into the House of Lords. It proposes reforms in the following areas:
•	governing law of the arbitration agreement;
•	summary disposal;
•	challenges under s.67 to substantive jurisdiction;
•	arbitrator independence and disclosure;
•	arbitrator immunity; and
•	powers of the English court in support of arbitral proceedings                                                                                                                                                                                                                                                                                                                                                                                                                               The new Arbitration Bill went through a Lords Special Public Bill Committee on 27 March 2024.
A start date for its Report Stage is expected to be announced.
<br>
<b>WHAT SHOULD I DO?</b><br>
The Bill will modernise arbitration law in England, Wales and Northern Ireland and follows the recommendations made by the Law Commission in its review on the Arbitration Act 1996.
</p>",,
ICO publishes new fining guidance,Monitor,Data Protection,FALSE,,,
ICO biometric data guidance,Plan,Data Protection,FALSE,,,
ICO cookies warning,Prepare,Data Protection,FALSE,,,
CNIL fines Amazon €32M for excessive employee monitoring,Monitor,Data Protection,FALSE,,,
HM Treasury consultation on ban on cold calling for consumer financial services and products,Monitor ,Data Protection,FALSE,,,
Data Protection and Digital Information Bill,Plan,Data Protection,FALSE,,,
EU AI Act,Plan,Data Protection,FALSE,,,
UK approach to AI regulation ,Monitor,Data Protection,FALSE,,,
Energy Savings Opportunity Scheme (ESOS) ,Prepare,ESG/Corporate,FALSE,,,
Sustainability Disclosure Standards,Monitor ,ESG/Corporate,FALSE,,,
TCFD,Monitor ,ESG/Corporate,FALSE,,,
Environmental Civil Sanctions,Plan,ESG/Corporate,FALSE,,,
EPCS/MEES,Action,ESG/Corporate,FALSE,,,
Economic Crime and Corporate Transparency Act 2023,Plan,Plan,FALSE,,,
Digitising UK shares,Monitor,Monitor,FALSE,,,
Climate Related Financial Disclosures,Action,Action,FALSE,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
